ITEM_CLASS_NAME,DEMOGRAPHIC_SEGMENT,HAS_PETS,TRADE_REGION_CODE,SEGMENT_SALES,SEGMENT_SALES_SHARE,SALES_INDEX
500 RODENT REPELLENT,Renter with kids,true,Regional,12974.8,0.015944328502,0.262653509026
500 RODENT REPELLENT,Renter with kids,unknown,Metro,4560.6,0.00560437961,0.09232185415
500 RODENT REPELLENT,Renter with kids,unknown,Regional,1060.09,0.001302711657,0.02145978038
500 RODENT REPELLENT,Unclassifiable,false,Metro,1484.92,0.001824772041,0.21014972434
500 RODENT REPELLENT,Unclassifiable,false,Regional,410.43,0.000504364672,0.05808511661
500 RODENT REPELLENT,Unclassifiable,true,Metro,3084.54,0.003790495348,0.436532089816
500 RODENT REPELLENT,Unclassifiable,true,Regional,2126.77,0.002613521559,0.300985998712
500 RODENT REPELLENT,Unclassifiable,unknown,Metro,270.98,0.000332998901,0.038349791469
500 RODENT REPELLENT,Unclassifiable,unknown,Regional,41.42,5.0899751e-05,0.005861865702
500 RODENT REPELLENT,Younger homeowner,false,Metro,20814.84,0.025578710013,0.221203452296
500 RODENT REPELLENT,Younger homeowner,false,Regional,2555.58,0.003140472842,0.027158657889
500 RODENT REPELLENT,Younger homeowner,true,Metro,45008.31,0.055309313435,0.478312278833
500 RODENT REPELLENT,Younger homeowner,true,Regional,22126.57,0.027190654245,0.235143468381
500 RODENT REPELLENT,Younger homeowner,unknown,Metro,1252.19,0.001538777377,0.013307272647
500 RODENT REPELLENT,Younger homeowner,unknown,Regional,453.44,0.000557218324,0.00481879723
500 RODENT TRAP,Homeowner older kids,false,Metro,69376.46,0.0155014951,0.187089560568
500 RODENT TRAP,Homeowner older kids,false,Regional,9259.55,0.002068956372,0.024970503553
500 RODENT TRAP,Homeowner older kids,true,Metro,229878.1,0.051364025216,0.619919101007
500 RODENT TRAP,Homeowner older kids,true,Regional,95174.07,0.021265720098,0.256658741794
500 RODENT TRAP,Homeowner older kids,unknown,Metro,3759.04,0.00083992092,0.010137114828
500 RODENT TRAP,Homeowner older kids,unknown,Regional,1215.18,0.00027152015,0.003277012006
500 RODENT TRAP,Homeowner younger kids,false,Metro,194692.32,0.043502104958,0.274025758805
500 RODENT TRAP,Homeowner younger kids,false,Regional,25314.7,0.005656323456,0.035629961552
500 RODENT TRAP,Homeowner younger kids,true,Metro,457201.61,0.102157252147,0.643502620483
500 RODENT TRAP,Homeowner younger kids,true,Regional,198395.61,0.044329569083,0.27923806945
500 RODENT TRAP,Homeowner younger kids,unknown,Metro,5382.1,0.001202577889,0.007575203979
500 RODENT TRAP,Homeowner younger kids,unknown,Regional,1505.23,0.000336329001,0.002118582763
500 RODENT TRAP,Older homeowner,false,Metro,487859.96,0.109007562213,0.214323710073
500 RODENT TRAP,Older homeowner,false,Regional,143882.1,0.032149055576,0.063209420764
500 RODENT TRAP,Older homeowner,true,Metro,771338.54,0.172348093265,0.338859818738
500 RODENT TRAP,Older homeowner,true,Regional,378021.27,0.084465175432,0.166070035904
500 RODENT TRAP,Older homeowner,unknown,Metro,22306.2,0.004984103398,0.009799425929
500 RODENT TRAP,Older homeowner,unknown,Regional,7113.33,0.001589404391,0.00312498545
500 RODENT TRAP,Renter no kids,false,Metro,138028.48,0.03084112113,0.476251790563
500 RODENT TRAP,Renter no kids,false,Regional,33980.97,0.007592717183,0.117247526068
500 RODENT TRAP,Renter no kids,true,Metro,110376.17,0.024662481459,0.380840596069
500 RODENT TRAP,Renter no kids,true,Regional,69152.02,0.015451346166,0.238601289725
500 RODENT TRAP,Renter no kids,unknown,Metro,31276.9,0.006988519047,0.107917435799
500 RODENT TRAP,Renter no kids,unknown,Regional,8777.45,0.001961235816,0.030285606841
500 RODENT TRAP,Renter with kids,false,Metro,123396.2,0.027571680505,0.454192764121
500 RODENT TRAP,Renter with kids,false,Regional,24744.56,0.00552893122,0.091078980586
500 RODENT TRAP,Renter with kids,true,Metro,123054.46,0.027495322027,0.45293489853
500 RODENT TRAP,Renter with kids,true,Regional,76599.46,0.017115404186,0.281944828676
500 RODENT TRAP,Renter with kids,unknown,Metro,19253.73,0.00430205867,0.070868510114
500 RODENT TRAP,Renter with kids,unknown,Regional,4736.13,0.001058242176,0.017432594975
500 RODENT TRAP,Unclassifiable,false,Metro,7336.23,0.001639209227,0.188779397892
500 RODENT TRAP,Unclassifiable,false,Regional,1401.81,0.000313220808,0.03607204899
500 RODENT TRAP,Unclassifiable,true,Metro,14037.1,0.003136453444,0.361209406903
500 RODENT TRAP,Unclassifiable,true,Regional,6667.76,0.001489846109,0.171578006502
500 RODENT TRAP,Unclassifiable,unknown,Metro,1437.46,0.000321186454,0.036989411967
500 RODENT TRAP,Unclassifiable,unknown,Regional,182.76,4.0835944e-05,0.004702868184
500 RODENT TRAP,Younger homeowner,false,Metro,113800.39,0.025427590108,0.219896574635
500 RODENT TRAP,Younger homeowner,false,Regional,17695.68,0.003953927554,0.034193375062
500 RODENT TRAP,Younger homeowner,true,Metro,303304.61,0.06777046459,0.58607571388
500 RODENT TRAP,Younger homeowner,true,Regional,137943.3,0.030822088488,0.266547936821
500 RODENT TRAP,Younger homeowner,unknown,Metro,4986.93,0.001114280996,0.009636248389
500 RODENT TRAP,Younger homeowner,unknown,Regional,1623.02,0.00036264803,0.003136162698
