Macro-segment,sub_dept,transactions,exposure_pct
Noise & Irrelevant,400 DECKING TIMBER,1380,0.1236190276557264
Noise & Irrelevant,400 LAWN MOWERS,1380,0.1236190276557264
Noise & Irrelevant,400 TROPICAL,1366,0.12236492157805959
Noise & Irrelevant,401 AIR MOVEMENT,1339,0.11994628842827364
Noise & Irrelevant,400 WATER SAVING AGENT,1312,0.1175276552784877
Noise & Irrelevant,401 SITE MANAGEMENT,1309,0.11725891826184481
Noise & Irrelevant,400 CHILD SAFETY,1291,0.11564649616198752
Noise & Irrelevant,400 FUEL CONTAINERS,1271,0.11385491605103495
Noise & Irrelevant,401 LADDERS,1248,0.11179459892343951
Noise & Irrelevant,400 SAND AND AGGREGATES,1215,0.10883849174036779
Noise & Irrelevant,400 ELECTRONIC INSECT CONTROL,1106,0.09907438013567636
Noise & Irrelevant,403 RUGS,1101,0.09862648510793823
Noise & Irrelevant,400 GUTTER GUARD,1084,0.09710364201362855
Noise & Irrelevant,400 FRAMING TIMBER,1080,0.09674532599143804
Noise & Irrelevant,400 BATTERIES AND CHARGERS,1068,0.0956703779248665
Noise & Irrelevant,401 LAUNDRY AIDS,1012,0.09065395361419935
Noise & Irrelevant,400 POND AND WATER FEATURES,995,0.08913111051988967
Noise & Irrelevant,402 ROOM FURNITURE,979,0.08769784643112763
Noise & Irrelevant,400 MDF BOARDS,970,0.08689163538119897
Noise & Irrelevant,400 ORGANISERS,963,0.08626458234236559
Noise & Irrelevant,400 SURFACE WATER DRAINAGE,949,0.08501047626469879
Noise & Irrelevant,402 KITCHEN ACCESSORIES,938,0.0840251072036749
Noise & Irrelevant,401 PLUMBING TOOLS,897,0.08035236797622214
Noise & Irrelevant,400 GROUT AND SEALER,874,0.07829205084862671
Noise & Irrelevant,401 DOOR ACCESSORIES,857,0.07676920775431705
Noise & Irrelevant,401 WORKSHOP VAC,842,0.07542552267110261
Noise & Irrelevant,402 TOOLBOXES,766,0.06861751824948291
Noise & Irrelevant,400 WALL SYSTEMS AND HARDWARE,716,0.06413856797210152
Noise & Irrelevant,401 TOOLS AND ACCESSORIES,708,0.06342193592772048
Noise & Irrelevant,401 FLOORING ADHESIVE,701,0.0627948828888871
Noise & Irrelevant,400 MASONRY TOOLS,697,0.06243656686669659
Noise & Irrelevant,400 AUTO ACCESSORIES,678,0.06073456576129166
Noise & Irrelevant,401 CORDED AC,675,0.06046582874464877
Noise & Irrelevant,402 HOME AUTOMATION PRODUCTS,652,0.05840551161705334
Noise & Irrelevant,402 DOWNLIGHTS,631,0.056524352500553154
Noise & Irrelevant,401 TILES AND SHEETING,606,0.05428487736186245
Noise & Irrelevant,401 VANITY AND CABINETS,588,0.052672455262005154
Noise & Irrelevant,403 CURTAINS,582,0.05213498122871938
Noise & Irrelevant,401 FLOORING TRIM,481,0.043087501668408974
Noise & Irrelevant,401 IRONING,465,0.04165423757964694
Nutrients & Feeding Systems,400 VEGETABLES,198080,17.743809418874118
