cluster,sub_dept,transactions,exposure_pct
0,402 TOOLBOXES,766,0.06861751824948291
0,400 WALL SYSTEMS AND HARDWARE,716,0.06413856797210152
0,401 TOOLS AND ACCESSORIES,708,0.06342193592772048
0,401 FLOORING ADHESIVE,701,0.0627948828888871
0,400 MASONRY TOOLS,697,0.06243656686669659
0,400 AUTO ACCESSORIES,678,0.06073456576129166
0,401 CORDED AC,675,0.06046582874464877
0,402 HOME AUTOMATION PRODUCTS,652,0.05840551161705334
0,402 DOWNLIGHTS,631,0.056524352500553154
0,401 TILES AND SHEETING,606,0.05428487736186245
0,401 VANITY AND CABINETS,588,0.052672455262005154
0,403 CURTAINS,582,0.05213498122871938
0,401 FLOORING TRIM,481,0.043087501668408974
0,401 IRONING,465,0.04165423757964694
